# GENERATED by backend/scripts/reconcile_twda.py — do not hand-edit.
# Human decisions belong in backend/src/data/twda_rulings.tsv, which
# is an input to this file.
#
# twda_id<TAB>action[<TAB>target]
#   attach:<tournament_uid>  we already hold this event
#   create<TAB><user_uid>    reconstruct it, won by that member
#   create                   reconstruct nothing: winner unresolved
#   review<TAB><uids>        UNDECIDED, with the candidates
#
# The consumer creates only `create` lines carrying a winner. Every
# other shape is logged and skipped, never guessed at.
10216	attach:019f1a19-c22e-718a-b7c7-00e5f71b29e8
10219	attach:019f1a19-c23a-74e9-abd7-051cff4228ee
10230	attach:019f1a19-c402-7412-8574-1657cc826ea8
10232	attach:019f1a19-c46f-77d9-ac2d-c0e39c034d4b
10233	attach:019f1a19-c477-75d0-a73f-78cd912c55db
10234	attach:019f1a19-c485-7270-8582-087d8f119bd2
10235	attach:019f1a19-c492-74c0-bc57-6ddb5037f5c4
10236	attach:019f1a19-c498-70d0-9c25-95fd35005457
10238	attach:019f1a19-c4a4-75a9-ba00-109c309c69d9
10239	attach:019f1a19-c4a8-776a-91ea-0768737b5cc0
10240	attach:019f1a19-c4ab-7396-928d-36bffd0f1c4a
10243	attach:019f1a19-c529-72e9-86b4-6324da27eaf0
10244	attach:019f1a19-c54c-7354-849b-84d84ec0311f
10246	attach:019f1a19-c577-73f7-b019-f993808f26a8
10247	attach:019f1a19-c57e-747d-875f-3efe345ef779
10248	attach:019f1a19-c583-764c-b8f4-4a0d4ee41d8d
10253	attach:019f1a19-c624-7182-8b76-ac26d1f52d0c
10256	attach:019f1a19-c632-7682-a3d6-8f2fc056fb9d
10258	attach:019f1a19-c63a-70c7-b756-809779d756e8
10270	attach:019f1a19-c7b0-7759-a90b-65158994dede
10271	attach:019f1a19-c832-7594-9606-25f4e4d14460
10272	attach:019f1a19-c83e-7242-9cf1-ea933dde8904
10273	attach:019f1a19-c845-71c2-88bb-41d92ede4ab3
10274	attach:019f1a19-c849-7577-ac4b-630b2c263b34
10276	attach:019f1a19-c86e-746e-a263-959356656e0a
10283	attach:019f1a19-c8e2-74e7-8d56-43d1b1d53ec0
10284	attach:019f1a19-c8f9-7245-aab4-a9e8062a45a7
10285	attach:019f1a19-c904-73ad-a522-67c4121f8eed
10291	attach:019f1a19-c9a7-767e-a663-fe0aa417f0e5
10292	attach:019f1a19-c9af-7293-9bbd-9655acd90de7
10295	attach:019f1a19-c9b9-714e-ac41-3a4a75408f12
